airport,lat,lon
ABQ,35.0389316,-106.6082622
ATL,33.6366996,-84.427864
AUS,30.1945278,-97.6698889
BNA,36.1244722,-86.6781667
BOS,42.3629444,-71.0063889
BWI,39.1757277,-76.6689923
CLE,41.4094167,-81.8546944
CLT,35.21375,-80.9490556
CVG,39.0488367,-84.6678222
DAL,32.8471122,-96.8517719
DEN,39.8616667,-104.6731667
DFW,32.8972316,-97.0376949
DSM,41.5339722,-93.6630833
DTW,42.2124167,-83.3533889
ELP,31.8073333,-106.3763611
EWR,40.6924798,-74.1686868
FLL,26.0716667,-80.1496944
HOU,29.6454167,-95.2788889
HRL,26.2271111,-97.6551389
IAD,38.9474444,-77.4599444
IAH,29.9844444,-95.3414444
IND,39.7173056,-86.2946389
JAX,30.4940556,-81.6878333
JFK ,40.6399257,-73.778695
LAS,36.0800556,-115.15225
LAX,33.942625,-118.4078028
LBB,33.6636667,-101.8205556
LGB,33.8176389,-118.1514722
MAF,31.9425278,-102.2019167
MCI,39.2976111,-94.7138889
MCO,28.4293889,-81.309
MDW,41.7859722,-87.7524167
MEM,35.0424167,-89.9766667
MSP,44.8819722,-93.2217778
MSY,29.9932778,-90.2590278
OAK,37.7186889,-122.2216583
OKC,35.393074,-97.6007617
ONT,34.056,-117.6011944
ORD ,41.9773201,-87.9080059
ORF,36.8946111,-76.2012222
PHL ,39.8720833,-75.2406611
PHX,33.4342778,-112.0115833
RDU,35.8776389,-78.7874722
SAN,32.7335556,-117.1896667
SEA,47.4498889,-122.3117778
SFO,37.6188056,-122.3754167
SJC,37.3629924,-121.9286208
SLC,40.7883878,-111.9777731
SNA,33.6756667,-117.8682222
STL,38.7486972,-90.3700289
TPA,27.9754722,-82.53325
TUL,36.1983889,-95.8881111
TUS,32.1160833,-110.9410278
